case_id,video_id,transcript_weight,predicted_count,reference_count,matched_count,precision,recall,f1,mean_absolute_error_ms,name,detector,learned_boundary_count,forced_split_count,event_count,min_duration_ms,max_duration_ms,mean_duration_ms,query_count,retrieval_recall_at_1,retrieval_recall_at_3,retrieval_recall_at_10,retrieval_mrr,retrieval_mean_best_tiou,retrieval_mean_top1_tiou
dev08_400_700,day1_Allie_08,0.0,6,7,5,0.8333333333333334,0.7142857142857143,0.7692307692307692,6000.0,v2-text-w0,v2,6,2,9,10000,60000,33333.333333333336,3,0.6666666666666666,1.0,1.0,0.8333333333333334,0.5944548872180451,0.44862155388471175
dev08_400_700,day1_Allie_08,0.1,6,7,5,0.8333333333333334,0.7142857142857143,0.7692307692307692,4000.0,v2-text-w0.1,v2,6,2,9,10000,60000,33333.333333333336,3,1.0,1.0,1.0,1.0,0.7541771094402673,0.7541771094402673
dev08_400_700,day1_Allie_08,0.25,6,7,5,0.8333333333333334,0.7142857142857143,0.7692307692307692,4000.0,v2-text-w0.25,v2,6,2,9,10000,60000,33333.333333333336,3,1.0,1.0,1.0,1.0,0.7541771094402673,0.7541771094402673
dev08_400_700,day1_Allie_08,0.5,4,7,3,0.75,0.42857142857142855,0.5454545454545454,3333.3333333333335,v2-text-w0.5,v2,4,3,8,10000,60000,37500.0,3,1.0,1.0,1.0,1.0,0.8494152046783626,0.8494152046783626
dev08_700_1000,day1_Allie_08,0.0,5,6,3,0.6,0.5,0.5454545454545454,1666.6666666666667,v2-text-w0,v2,5,1,7,10000,60000,42857.142857142855,3,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6176767676767677,0.21212121212121213
dev08_700_1000,day1_Allie_08,0.1,4,6,3,0.75,0.5,0.6,1666.6666666666667,v2-text-w0.1,v2,4,1,6,35000,60000,50000.0,3,0.3333333333333333,0.6666666666666666,1.0,0.5277777777777778,0.6176767676767677,0.21212121212121213
dev08_700_1000,day1_Allie_08,0.25,3,6,3,1.0,0.5,0.6666666666666666,1666.6666666666667,v2-text-w0.25,v2,3,2,6,20000,60000,50000.0,3,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6176767676767677,0.21212121212121213
dev08_700_1000,day1_Allie_08,0.5,4,6,3,0.75,0.5,0.6,1666.6666666666667,v2-text-w0.5,v2,4,1,6,40000,60000,50000.0,3,0.3333333333333333,0.6666666666666666,1.0,0.5277777777777778,0.6176767676767677,0.21212121212121213
dev09_400_700,day1_Allie_09,0.0,5,0,0,0.0,0.0,0.0,,v2-text-w0,v2,5,2,8,10000,60000,37500.0,2,0.0,0.5,0.5,0.25,0.3333333333333333,0.0
dev09_400_700,day1_Allie_09,0.1,5,0,0,0.0,0.0,0.0,,v2-text-w0.1,v2,5,2,8,10000,60000,37500.0,2,0.0,0.0,0.5,0.08333333333333333,0.37254901960784315,0.0
dev09_400_700,day1_Allie_09,0.25,4,0,0,0.0,0.0,0.0,,v2-text-w0.25,v2,4,3,8,10000,60000,37500.0,2,0.0,0.0,0.5,0.08333333333333333,0.4142156862745098,0.0
dev09_400_700,day1_Allie_09,0.5,4,0,0,0.0,0.0,0.0,,v2-text-w0.5,v2,4,3,8,10000,60000,37500.0,2,0.0,0.0,0.5,0.08333333333333333,0.4142156862745098,0.0
dev10_400_700,day1_Allie_10,0.0,4,1,1,0.25,1.0,0.4,5000.0,v2-text-w0,v2,4,3,8,10000,60000,37500.0,2,0.0,0.5,0.5,0.16666666666666666,0.5446428571428572,0.0
dev10_400_700,day1_Allie_10,0.1,3,1,1,0.3333333333333333,1.0,0.5,0.0,v2-text-w0.1,v2,3,3,7,10000,60000,42857.142857142855,2,0.0,0.5,1.0,0.25,0.6071428571428572,0.045454545454545456
dev10_400_700,day1_Allie_10,0.25,3,1,1,0.3333333333333333,1.0,0.5,0.0,v2-text-w0.25,v2,3,3,7,10000,60000,42857.142857142855,2,0.0,0.5,1.0,0.25,0.6071428571428572,0.045454545454545456
dev10_400_700,day1_Allie_10,0.5,2,1,1,0.5,1.0,0.6666666666666666,0.0,v2-text-w0.5,v2,2,3,6,30000,60000,50000.0,2,0.0,0.5,1.0,0.25,0.7596153846153846,0.0
