day,participant_id,recording_stem,chunk_count,valid_chunk_count,empty_chunk_count,reversed_interval_count,negative_timestamp_count,non_monotonic_count,first_start_sec,last_end_sec
day1,Allie,08,323,315,6,7,0,6,0.0,3573.0
day1,Allie,09,270,266,1,4,0,6,0.0,3600.88
day1,Allie,10,95,92,0,3,0,2,0.0,3600.76
day1,Allie,11,246,238,5,7,0,2,0.0,3554.0
day1,Allie,12,273,258,8,14,0,8,0.0,3590.32
day1,Allie,13,303,291,9,12,0,9,0.0,3598.0
day1,Allie,14,221,216,2,5,0,5,0.0,3600.02
day1,Allie,15,249,243,1,5,0,3,0.0,3109.96
day1,Allie,18,178,173,0,5,0,5,0.0,3598.36
day1,Allie,19,135,131,1,3,0,3,0.0,3584.0
day1,Allie,20,61,60,0,0,0,0,0.0,1158.08
