source,filename,size_bytes,sequence_index,inferred_day,inferred_participant_id,timestamp_status,assignment_status,notes
auxiliary/thermal/IMG 0003.bmp,IMG 0003.bmp,230995,3,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0004.bmp,IMG 0004.bmp,230995,4,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0005.bmp,IMG 0005.bmp,230995,5,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0006.bmp,IMG 0006.bmp,230995,6,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0007.bmp,IMG 0007.bmp,230995,7,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0008.bmp,IMG 0008.bmp,230995,8,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0009.bmp,IMG 0009.bmp,230995,9,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0010.bmp,IMG 0010.bmp,230995,10,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0011.bmp,IMG 0011.bmp,230995,11,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0012.bmp,IMG 0012.bmp,230995,12,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0013.bmp,IMG 0013.bmp,230995,13,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0014.bmp,IMG 0014.bmp,230995,14,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0015.bmp,IMG 0015.bmp,230995,15,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0016.bmp,IMG 0016.bmp,230995,16,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0017.bmp,IMG 0017.bmp,230995,17,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0018.bmp,IMG 0018.bmp,230995,18,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0019.bmp,IMG 0019.bmp,230995,19,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0020.bmp,IMG 0020.bmp,230995,20,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0021.bmp,IMG 0021.bmp,230995,21,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0022.bmp,IMG 0022.bmp,230995,22,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0023.bmp,IMG 0023.bmp,230995,23,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0024.bmp,IMG 0024.bmp,230995,24,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0025.bmp,IMG 0025.bmp,230995,25,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0026.bmp,IMG 0026.bmp,230995,26,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0027.bmp,IMG 0027.bmp,230995,27,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0028.bmp,IMG 0028.bmp,230995,28,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
